Watchlist '1month'

1month
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,600.40,+9.81,601.01,601.99,Information Technology,1.502317316551E10
LITE,594.26,-6.16,592.50,594.30,Information Technology,1.79255871381E9
MKSI,250.36,-12.58,244.00,258.00,Information Technology,7.5746697508E8
CIEN,310.96,+8.63,310.50,315.10,Information Technology,6.9151320729E8
IBRX,8.54,+2.52,8.48,8.50,Health Care,6.2179340595E8
GNRC,228.35,-5.11,228.15,231.00,Industrials,3.6004838752E8
FSLY,18.83,+1.17,19.01,19.07,Information Technology,3.047183132E8
SNSE,26.25,+17.12,25.30,25.75,Health Care,2.7988624483E8
SOLS,80.92,+.02,79.35,80.76,Materials,2.6969640358E8
STRL,410.63,-10.57,410.00,414.00,Industrials,2.1876417242E8
ENPH,46.04,+.40,46.04,46.30,Information Technology,2.1776171651E8
AEIS,321.34,+7.22,314.80,330.00,Information Technology,2.1634151896E8
TWST,54.92,+2.04,54.48,58.00,Health Care,1.4135935989E8
POWL,542.98,-18.66,542.78,550.00,Industrials,1.3880768568E8
JBLU,6.46,+.39,6.38,6.44,Industrials,1.3175368446E8
LBRT,27.12,+.44,27.11,27.48,Energy,1.2509931875E8
DOCN,68.86,+1.20,68.00,69.20,Information Technology,1.2043334923E8
MLEC,14.36,+4.78,13.04,13.88,Consumer Staples,1.1381787687E8
LASR,54.35,+3.46,54.50,54.80,Information Technology,1.0698168719E8
VIAV,26.33,+.03,25.16,25.99,Information Technology,9.890265323E7
ATOM,5.48,-.25,5.50,5.52,Information Technology,9.750068423E7
IPGP,138.28,+3.42,132.80,151.60,Information Technology,8.25906067E7
FORM,94.68,-.70,92.05,94.65,Information Technology,8.21276406E7
ACMR,64.61,-.57,64.50,66.00,Information Technology,7.165716341E7
NKTR,73.18,-.64,72.02,73.36,Health Care,6.686436656E7
NESR,24.67,+.50,24.38,24.98,Energy,5.643827136E7
TROX,7.75,+.15,8.13,8.20,Materials,5.560103778E7
BORR,5.78,+.35,5.67,5.76,Energy,5.245189746E7
ALGT,109.76,-4.28,108.98,109.78,Industrials,4.87658356E7
GOLD,57.77,-.92,57.55,57.95,Consumer Discretionary,4.201747777E7
UCTT,54.89,-.71,54.00,56.76,Information Technology,4.051800233E7
ACHC,16.93,+.515,16.50,17.05,Health Care,4.031226037E7
ICHR,47.84,+.77,47.00,48.98,Information Technology,3.741455053E7
USAS,7.50,+.24,7.52,7.57,Materials,3.74045738E7
ERAS,12.66,+.21,12.72,12.76,Health Care,3.587920572E7
ATEX,32.88,-.94,33.50,34.94,Communication Services,2.569229957E7
CTMX,5.41,+.14,5.32,5.45,Health Care,2.086459257E7
SHAZ,31.70,+29.85,29.50,30.50,,1.584243693E7
CABO,114.43,+11.14,70.11,119.48,Communication Services,1.555826626E7
EVMN,31.10,-.10,30.50,33.00,Health Care,1.416894964E7
CRVS,18.09,+.60,17.33,18.34,Health Care,1.401915227E7
PLSE,25.46,+1.79,25.50,25.90,Health Care,1.277708361E7
GLTO,30.50,+.59,30.10,34.00,Health Care,1.204859398E7
ASTI,6.48,+.43,6.46,6.48,Information Technology,1.168856044E7
BNAI,18.72,-.10,18.69,18.88,Information Technology,1.101210512E7
CCSI,28.34,-.38,26.40,30.36,Information Technology,1.011485034E7
