Watchlist '6month '

6month 
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,621.09,+20.69,618.01,619.10,Information Technology,1.206202838333E10
INTC,44.62,-.84,44.56,44.57,Information Technology,3.23740762957E9
LITE,635.64,+41.38,636.04,637.80,Information Technology,2.59502556941E9
NBIS,107.61,+5.81,107.01,107.10,Information Technology,1.83678432149E9
LRCX,237.39,-2.70,237.01,237.90,Information Technology,1.50228342973E9
ONDS,11.39,+.32,11.35,11.36,Information Technology,1.14188060907E9
RKLB,76.58,+2.16,76.50,76.65,Industrials,1.10892745963E9
COHR,232.48,+8.59,232.00,233.95,Information Technology,9.333178105E8
CIEN,318.41,+7.45,316.00,319.00,Information Technology,7.5411251565E8
MRNA,49.70,+3.10,49.90,50.00,Health Care,5.9067605135E8
PAAS,61.21,+3.20,61.00,61.23,Materials,5.6492330016E8
FSLY,18.07,-.76,17.98,18.05,Information Technology,5.3778654419E8
KTOS,105.67,+8.46,106.80,107.99,Industrials,5.3179101179E8
IBRX,8.61,+.07,8.50,8.53,Health Care,4.558643923E8
MKSI,249.08,-1.28,245.00,251.00,Information Technology,3.6069706384E8
WULF,15.47,+.09,15.34,15.37,Information Technology,3.5531683891E8
ONTO,225.33,+5.33,226.06,230.70,Information Technology,3.2047730246E8
FTAI,288.98,+1.82,280.27,297.50,Industrials,2.9937902747E8
RIOT,16.22,+.73,16.15,16.23,Information Technology,2.7536120296E8
GRAL,101.53,-.75,52.90,53.00,Health Care,2.6782470716E8
SATS,114.84,+.38,113.10,115.20,Communication Services,2.5165842714E8
SCCO,194.07,+1.41,192.00,193.80,Materials,2.4712274898E8
AMKR,48.34,+1.60,48.27,48.47,Information Technology,2.4695210811E8
CORZ,17.98,+.71,17.91,17.95,Information Technology,2.3280724302E8
STRL,415.13,+4.50,411.00,423.00,Industrials,2.2866176027E8
UUUU,21.97,+.63,21.85,21.95,Energy,2.1417608286E8
ENPH,44.25,-1.79,44.12,44.49,Information Technology,2.1362447884E8
MTSI,242.56,-4.20,239.38,261.00,Information Technology,2.0558699859E8
TTMI,100.39,+6.42,96.80,101.00,Information Technology,2.0329753153E8
CENX,52.50,+2.28,50.81,51.93,Materials,1.9743587861E8
PRAX,331.61,+2.68,305.55,340.00,Health Care,1.9620414779E8
FLEX,65.11,-.71,62.01,66.50,Information Technology,1.9223331157E8
SSRM,29.11,+2.52,29.00,29.20,Materials,1.856138368E8
PSTG,73.59,+.99,73.00,74.00,Information Technology,1.8288247137E8
ENTG,132.67,+.78,127.00,136.00,Information Technology,1.8026717322E8
RMBS,104.13,-.21,102.00,105.00,Information Technology,1.791644203E8
HYMC,42.15,+1.47,42.25,42.35,Materials,1.6485059369E8
RCAT,12.83,+.75,13.00,13.02,Industrials,1.6337999028E8
LSCC,95.10,-2.13,93.00,97.80,Information Technology,1.5114527735E8
AAOI,46.98,+3.54,46.75,46.89,Information Technology,1.4623272518E8
NVMI,442.67,-9.18,413.00,462.00,Information Technology,1.4601368813E8
AEIS,320.64,-.70,317.00,350.00,Information Technology,1.4525204208E8
GKOS,117.10,-3.90,93.00,119.00,Health Care,1.3159552884E8
LBRT,26.89,-.23,26.62,26.90,Energy,1.2786283744E8
POWL,536.36,-6.62,535.00,560.00,Industrials,1.2114564072E8
CMPS,8.26,-.19,8.28,8.29,Health Care,1.1990837898E8
LUNR,18.19,+.45,18.10,18.17,Industrials,1.1893572842E8
