Watchlist '6month '

6month 
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,565.41,-53.67,564.97,566.00,Information Technology,1.184088666137E10
LITE,694.43,-88.82,687.20,692.50,Information Technology,5.11516568983E9
COHR,280.81,-18.10,277.80,280.00,Information Technology,2.29298613948E9
AAOI,95.34,-7.17,92.54,94.50,Information Technology,1.58632874458E9
BATL,27.68,+15.88,23.02,23.15,Energy,1.43345066147E9
CIEN,333.07,-20.66,330.00,333.06,Information Technology,1.00151053015E9
PAAS,61.59,-5.43,61.51,62.00,Materials,6.1293176045E8
RCAT,14.70,+1.03,14.75,14.82,Industrials,5.5386042921E8
AXTI,41.76,-4.56,40.30,40.98,Information Technology,5.3542531872E8
WULF,14.74,-1.28,14.75,14.78,Information Technology,5.0237323786E8
SCCO,206.23,-12.62,202.70,208.76,Materials,5.023507443E8
SATS,116.90,-1.78,116.52,116.90,Communication Services,4.6696470369E8
MRNA,49.83,-3.015,53.85,54.00,Health Care,4.5981798927E8
FTAI,281.75,-16.39,270.00,283.00,Industrials,4.1820259155E8
ENTG,126.79,-8.71,125.30,126.70,Information Technology,3.639080182E8
FSLY,21.135,-.035,21.10,21.15,Information Technology,3.5530450391E8
MKSI,232.56,-11.70,217.61,235.00,Information Technology,3.2807555232E8
VIAV,33.04,-2.31,33.00,33.01,Information Technology,3.2002063247E8
UUUU,20.89,-2.48,20.90,21.06,Energy,2.9176692427E8
IBRX,10.00,-.44,9.42,9.47,Health Care,2.8420232058E8
HYMC,48.51,-7.23,48.90,49.15,Materials,2.7791794206E8
LASR,63.07,-4.62,63.90,64.09,Information Technology,2.1706066199E8
LUNR,18.20,+.21,18.05,18.17,Industrials,2.1499433211E8
STRL,415.51,-17.36,412.01,419.00,Industrials,2.0197284611E8
USAR,19.42,-1.45,19.36,19.40,Materials,2.017025084E8
LSCC,93.48,-7.24,92.03,95.94,Information Technology,1.9859343837E8
TTMI,104.05,-8.95,102.00,105.00,Information Technology,1.9099429508E8
UCTT,59.60,-3.62,59.60,61.00,Information Technology,1.8277105678E8
SITM,406.41,-34.39,402.00,407.24,Information Technology,1.7832334566E8
SMTC,90.17,-6.13,91.50,96.19,Information Technology,1.7005770069E8
VICR,201.97,-7.22,190.00,204.70,Industrials,1.6041753625E8
CENX,52.92,+1.565,52.70,52.97,Materials,1.5535667509E8
FORM,92.78,-6.92,92.00,97.50,Information Technology,1.4777809981E8
VSCO,62.12,+.94,60.91,64.41,Consumer Discretionary,1.4773235246E8
AEHR,41.64,-2.39,41.65,41.99,Information Technology,1.4755397732E8
PRAX,318.22,-12.37,305.00,335.00,Health Care,1.4131149466E8
ONTO,207.50,-10.55,205.00,225.00,Information Technology,1.1783365782E8
POET,7.04,+.13,6.90,6.96,Information Technology,1.1693588523E8
UAMY,9.59,-1.06,9.65,9.66,Materials,1.1457158638E8
CAMT,162.61,-8.86,161.11,168.00,Information Technology,1.1244565776E8
IESC,487.57,-14.80,481.00,515.00,Industrials,1.0277977729E8
SIMO,119.43,-9.76,118.45,125.43,Information Technology,1.0227950692E8
NKTR,68.11,-.25,67.60,69.00,Health Care,1.0199494399E8
POWL,511.12,-21.38,506.00,515.80,Industrials,1.0064911829E8
IPGP,131.67,-3.47,131.68,135.00,Information Technology,9.845193617E7
SSRM,28.93,-3.01,29.08,29.41,Materials,9.703591883E7
IDCC,370.80,-8.03,357.29,385.00,Information Technology,9.272017244E7
MYRG,269.72,-3.82,190.00,295.00,Industrials,9.01881963E7
PCVX,59.82,-2.16,55.61,60.52,Health Care,8.891934357E7
FIGS,16.95,-.17,16.55,17.10,Consumer Discretionary,8.779396493E7
BNAI,42.67,+5.98,41.75,41.92,Information Technology,8.763259819E7
LBRT,27.83,-.65,27.30,28.40,Energy,8.687920432E7
AMPX,11.63,+.04,11.67,11.72,Industrials,8.538005811E7
TERN,41.51,-.52,41.64,42.32,Health Care,8.400654874E7
INDO,5.25,-1.49,5.30,5.34,Energy,7.847730751E7
AUGO,84.21,-3.91,82.55,88.00,Materials,7.751462128E7
DIOD,66.79,-5.31,65.90,75.20,Information Technology,7.281386522E7
MRCY,89.43,-1.58,80.00,98.62,Industrials,7.038834462E7
CGON,60.55,+2.79,49.00,61.95,Health Care,6.856106572E7
KYMR,86.35,-3.75,84.50,90.10,Health Care,6.817731258E7
