Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
IPGP,153.91,+3.66,149.96,158.99,Information Technology,2.0244697148E8
ACHC,16.77,+.88,16.16,16.95,Health Care,6.921453816E7
AMSC,34.26,+2.31,34.01,34.50,Industrials,4.836891354E7
CCSI,29.61,+2.41,26.40,31.35,Information Technology,1.089453936E7
CPS,45.20,+11.05,43.53,45.97,Consumer Discretionary,5.097290737E7
CRSR,6.79,+2.21,6.78,6.84,Information Technology,3.2901596785E8
EGO,47.37,+2.22,45.90,47.82,Materials,1.5317638173E8
EVMN,31.57,+3.69,31.90,32.10,Health Care,4.307855821E7
FRMI,10.29,+1.03,10.32,10.34,Real Estate,1.1575894935E8
FSLY,18.26,+2.22,18.40,18.49,Information Technology,9.9545321745E8
GNRC,224.45,+8.72,223.85,226.00,Industrials,6.3376062808E8
ICHR,46.77,+2.84,46.68,47.69,Information Technology,6.439459612E7
KPTI,8.58,-.36,8.60,8.97,Health Care,1.943226911E7
MLEC,8.63,+3.53,8.00,8.02,Consumer Staples,4.1202627067E8
NKTR,71.33,+.33,71.50,73.00,Health Care,1.6132128041E8
PSIX,98.77,+6.05,98.80,100.00,Industrials,1.0295680908E8
RIG,6.54,+.51,6.58,6.61,,6.216614084E8
VAL,95.96,+7.07,96.01,97.00,Energy,2.7835053722E8
VNET,13.80,-.23,13.84,13.90,Information Technology,1.0495549181E8
