Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
CRCL,99.63,+3.49,98.68,98.76,Information Technology,3.28557054776E9
DELL,145.18,-8.37,144.51,145.00,Information Technology,2.20590799538E9
AAOI,95.34,-7.17,92.54,94.50,Information Technology,1.58632874458E9
BATL,27.68,+15.88,23.08,23.35,Energy,1.43333299379E9
AXON,579.09,+7.07,579.20,583.50,Industrials,6.803051075E8
DAVE,208.76,+9.75,203.01,205.00,Financials,3.1415890388E8
WRBY,27.48,+1.19,27.26,28.02,Consumer Discretionary,9.829991804E7
FIGS,16.95,-.17,16.55,17.10,Consumer Discretionary,8.779396493E7
BNAI,42.67,+5.98,41.75,41.92,Information Technology,8.762790449E7
OCUL,10.76,-.22,10.66,10.75,Health Care,8.478013238E7
ACHC,22.99,-.45,22.23,22.89,Health Care,7.669785822E7
SEZL,73.44,-2.36,73.00,73.88,Financials,6.318850938E7
ARLO,15.09,-.20,14.74,15.25,Information Technology,4.654745417E7
LWLG,5.25,+.20,5.29,5.33,Information Technology,2.427003763E7
ASTH,24.51,-1.81,23.38,24.51,Health Care,2.072781225E7
LRMR,5.51,+.28,5.49,5.53,Health Care,1.906406979E7
IBTA,25.65,+.71,23.50,27.75,Communication Services,1.757806122E7
PRAA,16.96,+.21,15.98,17.00,Financials,1.39546059E7
OPRA,15.42,-.03,15.15,15.90,Information Technology,1.339046649E7
RYAM,9.37,-.19,8.94,9.35,Materials,1.316693208E7
PUBM,8.29,+.11,7.90,8.30,Communication Services,1.077909677E7
