Watchlist '1week'

1week
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
NBIS,107.61,+5.81,107.01,107.20,Information Technology,1.83677872577E9
ONDS,11.39,+.32,11.35,11.36,Information Technology,1.14185211129E9
MRNA,49.70,+3.10,49.90,50.00,Health Care,5.9067605135E8
FSLY,18.07,-.76,17.98,18.05,Information Technology,5.3778654419E8
KTOS,105.67,+8.46,106.80,107.99,Industrials,5.3179080045E8
IBRX,8.61,+.07,8.50,8.53,Health Care,4.5586084498E8
CMPS,8.26,-.19,8.28,8.29,Health Care,1.1990837898E8
CAPR,29.15,+3.62,28.86,29.08,Health Care,6.621187509E7
MLEC,17.10,+2.74,17.88,18.00,Consumer Staples,5.818452252E7
LPTH,13.60,+2.36,13.45,13.57,Information Technology,5.314223218E7
IRDM,23.08,+.01,22.85,23.30,Communication Services,3.275931042E7
ATOM,6.66,+1.18,6.38,6.39,Information Technology,3.23146941E7
SNSE,27.22,+.97,26.63,26.97,Health Care,1.373381033E7
ISSC,24.16,+.64,24.20,24.43,Industrials,1.259477781E7
GLTO,30.46,-.04,29.60,32.30,Health Care,1.042719043E7
